entity,variant,normal_same,normal_shifted,treatment_start_time
0,B,0.459746299867,2.23303481771,33
1,A,-0.0278020048168,-0.447481738977,25
2,B,-1.42273118383,4.60202974878,41
3,A,-2.0769355874,2.90437410608,51
4,B,0.253460791287,0.0260342174024,20
5,A,0.981590445045,-0.544137463667,29
6,A,0.868152596518,-0.987654464956,37
7,A,-2.08191868934,-1.01793689422,36
8,B,0.0425680236199,4.62383593833,44
10,B,0.932986907123,1.83395932469,27
11,B,-0.670807885215,2.09016488338,27
12,A,-0.760853043122,-0.181617504946,43
13,A,-0.031889790758,1.04555417566,14
14,B,1.0471574591,2.06946623463,31
15,A,0.278201551135,-0.669022013288,3
16,B,-0.287743662716,1.85125197936,24
17,A,1.52642112759,1.82161761961,29
18,A,0.250124685695,-0.507309747923,28
19,B,-0.693327836261,0.84040005006,4
20,A,0.600660265904,-1.68307165636,19
22,A,-0.285653559173,2.10790367118,24
23,B,-1.31570994119,2.09500847856,6
24,B,3.86887114055,1.29297181262,20
25,A,-0.971662666384,-1.87001042233,10
26,B,-1.3822563983,5.26223315773,51
27,A,0.963854718736,0.0876720084757,10
28,A,0.523065672459,0.170049431408,32
29,A,-2.54746439071,-1.13157645573,23
30,A,1.37309155206,1.5139842874,5
32,A,-0.935181408472,-0.708312797891,43
33,A,0.588606537969,-0.588794825062,18
34,A,1.62735154336,-4.37286319553,20
35,A,-0.217766125375,0.64575910129,0
36,B,0.67955648879,-0.493427618033,6
37,A,0.212940554418,0.795175485168,18
38,A,-0.559745154851,-0.991436789336,12
39,B,-1.25711708333,2.56527605479,16
40,A,0.878870810911,1.0947881405,14
41,A,-1.51916065278,-0.854024595779,13
42,A,0.350191023507,3.37813671672,50
43,B,2.5748693989,0.360444051955,23
44,B,-6.22987982283,6.29841456246,39
45,B,1.31146659556,0.874422926088,22
46,A,1.41720314669,0.989857297195,13
47,B,1.00121838852,0.83100709132,9
48,A,-0.659300314219,-0.756416789552,18
49,A,0.151950662321,0.408075395759,16
50,A,0.759139266887,0.571217470291,32
51,A,0.717708456643,-0.816932856999,4
52,A,1.68673142,1.17924412973,14
53,B,-0.584018270739,1.03756962662,0
55,B,-0.447109121119,4.91140768328,36
56,A,-0.754565030735,-1.47936190631,31
57,B,1.72665502992,3.12410403945,24
58,B,-0.351255608542,1.27928614828,0
59,A,-2.17388479298,0.826741897438,18
60,A,3.11829901324,-2.75043117888,31
61,B,0.190325541835,1.15943831835,6
62,B,-2.01969781659,0.336454533098,18
63,B,1.38958922887,3.47601710313,16
64,B,2.01381629251,1.54325019522,5
65,A,-0.213862867597,1.74143996076,13
66,A,1.77614844998,2.81456468418,32
67,A,0.804121585522,-0.765798796693,6
68,A,-2.42031698798,7.0543032365,41
69,B,1.57009132879,5.87304072267,25
70,B,2.24635106752,5.20522755905,26
71,A,-2.64168257363,0.496497556563,35
72,A,0.935400303156,1.85181080197,69
73,A,0.224978304843,2.09923089751,10
74,B,1.1304311048,0.198358877541,13
75,B,0.775851141471,0.334784667675,1
78,A,-0.0683350675622,-1.52128618961,16
79,A,-2.89174221539,1.50986367968,13
80,A,-2.13299529311,1.48252986726,23
81,A,-0.767703721206,0.0457057947954,5
82,B,0.844551888314,3.53746904677,16
83,B,2.06448767569,0.547774467906,15
84,A,-0.706606568098,-0.0792747820667,18
85,A,-0.0208103091872,0.346473232993,9
86,B,-2.12091988979,6.71847196861,30
88,B,1.88242109284,2.95767333867,6
89,A,-0.0303714896038,0.223061494654,19
90,B,-0.575215312996,2.3904319474,30
91,A,1.0698054105,1.06770003001,0
92,A,-0.156237513872,-0.641845313365,20
93,A,0.173426485761,0.909881439863,9
94,A,0.402846424092,2.49171066125,27
95,A,0.75455323294,1.27539284256,15
96,A,-0.561023635679,-0.416167544144,10
97,A,-1.38724277601,-1.20672824035,29
99,B,1.8568908371,0.934059885514,36
100,B,-0.0958806057486,11.8765790176,42
102,A,-2.93935529822,-1.99589982029,18
103,A,-2.35346906616,2.24186475478,44
104,B,0.147131569688,2.47451447667,23
105,A,0.382506130806,1.29726648829,11
106,A,-2.49025998982,3.95845325874,34
107,A,0.10260047141,0.987247216439,10
108,A,-1.19750541355,3.70409658053,30
109,B,-1.81009868866,2.63909395858,12
111,A,1.40268187749,0.974220152911,26
112,A,-0.488951658881,0.780523770845,23
113,A,0.329185661306,2.09418050054,17
114,B,1.70466424914,6.9726061825,42
115,B,1.48137297725,2.98928546839,2
116,B,2.19343888345,1.06682531689,23
117,B,1.5996906919,0.9522741205,22
118,A,0.88047786904,-0.885069956168,25
119,A,-0.573475255173,-0.444276768036,10
120,B,0.326540438752,1.89097119347,15
124,B,-1.57487688882,1.89343492196,26
125,A,-0.594656270938,-1.3170275912,36
126,B,1.42231693105,1.68682925983,28
127,A,0.432917244527,-0.0239174661403,34
128,B,1.55520282899,2.59316604745,17
129,A,-0.87158498207,-0.146186255787,14
130,B,-0.730955455835,0.670330462746,6
131,B,-0.276448013752,3.67256017048,19
133,B,-1.91910952574,4.77173711084,39
134,A,3.69180105656,1.47325718406,33
135,A,0.139996869998,-0.907459674721,8
137,B,-1.28427596593,-0.408510375479,18
138,B,2.45271378771,-0.507335766833,21
139,A,0.188408878121,0.0290029554214,20
140,B,0.14645603106,1.35322666818,80
141,B,0.460678607641,1.08521925838,10
144,B,0.745409139955,2.28717927938,28
145,A,0.438249591013,0.572947632794,19
146,A,1.26083534158,2.6317396412,17
147,B,-0.965920501779,5.56941790488,70
148,A,2.75296858247,-1.58100093572,31
149,B,-0.302927191945,3.64611947132,6
150,A,2.20737890428,-0.354464854042,2
151,A,-1.0352916072,-1.89691571997,15
152,B,-3.80049439734,6.43595808207,22
154,B,0.433604569846,0.34215506976,13
155,B,-1.67422779147,2.33290051403,18
156,B,-0.485387245153,4.95243206844,22
157,A,0.1974951822,-0.0745532622109,14
158,A,0.185200081463,1.22306502196,33
159,B,1.10715199625,0.420715749354,1
160,B,-0.988430890229,2.94282998846,39
161,B,0.271147657155,0.254576289788,20
162,B,1.42485950345,-0.241608609526,19
164,A,0.211520454644,-0.315103400671,2
165,A,-0.787477955938,-3.16091280823,8
166,A,2.26320848272,-1.99866225566,35
167,B,1.02122079231,0.694143440686,8
168,B,-0.12731600517,-0.108944752532,17
169,A,-0.0270738639562,-0.167853565241,12
170,A,-1.60710823344,0.394445412352,33
171,A,-0.085261354478,-0.187916827069,17
173,B,-1.52053539453,3.16133458082,23
174,A,0.0484934445683,4.19881340566,46
175,A,-0.187075844147,-0.28221305987,15
177,A,0.705243181893,-0.272672067788,22
178,A,-2.46756565767,-2.19125880704,26
179,A,-0.45552372173,-0.121998740909,42
181,B,2.29110456319,1.25623179924,13
182,A,-2.55435794049,0.0729074306596,33
183,A,-1.49225444921,-4.46791611947,37
184,B,-1.70046299342,-0.780523322816,7
185,A,-0.595240188082,-0.606883516169,16
186,B,-2.33656005476,0.517294799488,10
187,A,0.530320520174,1.60178905586,10
188,B,-0.415263040906,0.919504058767,19
190,A,0.398993647727,-0.852602196707,22
191,B,0.39775278661,3.16031018122,3
192,B,0.172001781508,2.58912742752,18
193,A,-2.11975605045,1.00220166429,4
194,A,0.039757694336,-0.679736778222,10
